Timestamp,index,Weight,mice,count
2023-05-25 02:27:52.520,1784648,1701580321732212165101302471870,c,1
2023-05-25 02:28:31.310,1785039,1701580321732212165101302471870,c,1
2023-05-25 02:28:32.320,1785052,1701580321732212165101302471870,c,1
2023-05-25 02:52:12.120,1799187,1701580321732212165101302471870,c,1
2023-05-25 02:52:12.120,1799200,1701580321732212165101302471870,c,1
2023-05-25 02:52:55.550,1799629,1701580321732212165101302471870,c,1
2023-05-25 02:52:56.560,1799642,1701580321732212165101302471870,c,1
2023-05-25 03:00:17.170,1804037,1701580321732212165101302471870,c,1
2023-05-25 03:00:19.190,1804052,1701580321732212165101302471870,c,1
2023-05-25 03:01:27.270,1804735,1701580321732212165101302471870,c,1
2023-05-25 03:01:27.270,1804744,1701580321732212165101302471870,c,1
2023-05-25 03:13:38.380,1812021,1701580321732212165101302471870,c,1
2023-05-25 03:14:24.240,1812488,1701580321732212165101302471870,c,1
2023-05-25 03:14:25.250,1812499,1701580321732212165101302471870,c,1
2023-05-25 04:44:42.420,1866422,1701580321732212165101302471870,c,1
2023-05-25 04:46:38.380,1867575,1701580321732212165101302471870,c,1
2023-05-25 04:46:40.400,1867602,1701580321732212165101302471870,c,1
2023-05-25 04:49:56.560,1869561,1701580321732212165101243261870,b,1
2023-05-25 04:49:58.580,1869580,1701580321732212165101243261870,b,1
2023-05-25 04:53:49.490,1871885,1701580321732212165101243261870,b,1
2023-05-25 04:53:51.510,1871910,1701580321732212165101243261870,b,1
2023-05-25 04:54:21.210,1872203,17015803217322121651001161561870,a,1
2023-05-25 04:54:22.220,1872226,17015803217322121651001161561870,a,1
2023-05-25 04:55:20.200,1872799,1701580321732212165101302471870,c,1
2023-05-25 04:55:21.210,1872820,1701580321732212165101302471870,c,1
2023-05-25 04:56:02.020,1873227,1701580321732212165101302471870,c,1
2023-05-25 04:56:03.030,1873242,1701580321732212165101302471870,c,1
2023-05-25 04:56:12.120,1873339,17015803217322121651001161561870,a,1
2023-05-25 04:56:14.140,1873358,17015803217322121651001161561870,a,1
2023-05-25 04:57:23.230,1874053,1701580321732212165101302471870,c,1
2023-05-25 04:57:24.240,1874064,1701580321732212165101302471870,c,1
2023-05-25 04:57:53.530,1874357,1701580321732212165101243261870,b,1
2023-05-25 04:57:54.540,1874370,1701580321732212165101243261870,b,1
2023-05-25 04:58:31.310,1874739,1701580321732212165101243261870,b,1
2023-05-25 04:59:06.060,1875094,1701580321732212165101302471870,c,1
2023-05-25 04:59:07.070,1875107,1701580321732212165101302471870,c,1
2023-05-25 05:02:16.160,1876988,1701580321732212165101243261870,b,1
2023-05-25 05:02:17.170,1876999,1701580321732212165101243261870,b,1
2023-05-25 05:02:44.440,1877278,1701580321732212165101243261870,b,1
2023-05-25 05:02:45.450,1877289,1701580321732212165101243261870,b,1
2023-05-25 05:04:55.550,1878588,1701580321732212165101243261870,b,1
2023-05-25 05:04:59.590,1878633,1701580321732212165101243261870,b,1
2023-05-25 05:05:00.000,1878644,1701580321732212165101243261870,b,1
2023-05-25 05:05:14.140,1878787,1701580321732212165101243261870,b,1
2023-05-25 05:05:16.160,1878808,1701580321732212165101243261870,b,1
2023-05-25 05:05:21.210,1878859,1701580321732212165101243261870,b,1
2023-05-25 05:07:05.050,1879906,17015803217322121651001161561870,a,1
2023-05-25 05:07:08.080,1879931,17015803217322121651001161561870,a,1
2023-05-25 05:07:52.520,1880372,1701580321732212165101302471870,c,1
2023-05-25 05:08:11.110,1880567,1701580321732212165101243261870,b,1
2023-05-25 05:08:11.110,1880576,1701580321732212165101243261870,b,1
2023-05-25 05:08:41.410,1880877,17015803217322121651001161561870,a,1
2023-05-25 05:08:43.430,1880900,17015803217322121651001161561870,a,1
2023-05-25 05:08:47.470,1880937,1701580321732212165101302471870,c,1
2023-05-25 05:08:49.490,1880966,1701580321732212165101302471870,c,1
2023-05-25 05:08:55.550,1881029,1701580321732212165101302471870,c,1
2023-05-25 05:08:56.560,1881040,1701580321732212165101302471870,c,1
2023-05-25 05:09:16.160,1881247,1701580321732212165101243261870,b,1
2023-05-25 05:09:17.170,1881260,1701580321732212165101243261870,b,1
2023-05-25 05:09:43.430,1881521,1701580321732212165101302471870,c,1
2023-05-25 05:09:44.440,1881532,1701580321732212165101302471870,c,1
2023-05-25 05:10:47.470,1882167,1701580321732212165101243261870,b,1
2023-05-25 05:10:48.480,1882180,1701580321732212165101243261870,b,1
2023-05-25 05:11:03.030,1882327,1701580321732212165101243261870,b,1
2023-05-25 05:11:03.030,1882338,1701580321732212165101243261870,b,1
2023-05-25 05:12:00.000,1882903,1701580321732212165101243261870,b,1
2023-05-25 05:12:12.120,1883024,1701580321732212165101243261870,b,1
2023-05-25 05:12:15.150,1883059,1701580321732212165101243261870,b,1
2023-05-25 05:12:17.170,1883084,1701580321732212165101243261870,b,1
2023-05-25 05:12:19.190,1883107,1701580321732212165101243261870,b,1
2023-05-25 05:12:26.260,1883180,1701580321732212165101243261870,b,1
2023-05-25 05:12:31.310,1883237,1701580321732212165101243261870,b,1
2023-05-25 05:14:31.310,1884430,1701580321732212165101243261870,b,1
2023-05-25 05:14:32.320,1884445,1701580321732212165101243261870,b,1
2023-05-25 05:14:45.450,1884574,1701580321732212165101243261870,b,1
2023-05-25 05:14:46.460,1884587,1701580321732212165101243261870,b,1
2023-05-25 05:15:33.330,1885060,1701580321732212165101243261870,b,1
2023-05-25 05:15:33.330,1885071,1701580321732212165101243261870,b,1
2023-05-25 05:15:45.450,1885188,1701580321732212165101243261870,b,1
2023-05-25 05:15:46.460,1885199,1701580321732212165101243261870,b,1
2023-05-25 05:17:11.110,1886048,1701580321732212165101243261870,b,1
2023-05-25 05:17:11.110,1886059,1701580321732212165101243261870,b,1
2023-05-25 05:17:31.310,1886260,1701580321732212165101243261870,b,1
2023-05-25 05:17:32.320,1886273,1701580321732212165101243261870,b,1
2023-05-25 05:18:28.280,1886828,1701580321732212165101243261870,b,1
2023-05-25 05:18:29.290,1886847,1701580321732212165101243261870,b,1
2023-05-25 05:18:33.330,1886890,1701580321732212165101302471870,c,1
2023-05-25 05:18:35.350,1886913,1701580321732212165101302471870,c,1
2023-05-25 05:18:40.400,1886964,1701580321732212165101243261870,b,1
2023-05-25 05:18:41.410,1886979,1701580321732212165101243261870,b,1
2023-05-25 05:18:56.560,1887132,1701580321732212165101243261870,b,1
2023-05-25 05:18:58.580,1887157,1701580321732212165101243261870,b,1
2023-05-25 05:19:02.020,1887202,1701580321732212165101243261870,b,1
2023-05-25 05:19:06.060,1887237,1701580321732212165101243261870,b,1
2023-05-25 05:19:16.160,1887340,1701580321732212165101243261870,b,1
2023-05-25 05:19:21.210,1887395,1701580321732212165101243261870,b,1
2023-05-25 05:19:22.220,1887412,1701580321732212165101243261870,b,1
2023-05-25 05:19:26.260,1887455,1701580321732212165101243261870,b,1
2023-05-25 05:19:28.280,1887480,1701580321732212165101243261870,b,1
2023-05-25 05:21:24.240,1888633,1701580321732212165101302471870,c,1
2023-05-25 05:21:25.250,1888648,1701580321732212165101302471870,c,1
2023-05-25 05:25:15.150,1890947,1701580321732212165101243261870,b,1
2023-05-25 05:25:16.160,1890956,1701580321732212165101243261870,b,1
2023-05-25 05:26:20.200,1891599,1701580321732212165101243261870,b,1
2023-05-25 05:26:21.210,1891612,1701580321732212165101243261870,b,1
2023-05-25 05:26:33.330,1891733,1701580321732212165101243261870,b,1
2023-05-25 05:26:34.340,1891742,1701580321732212165101243261870,b,1
2023-05-25 05:26:36.360,1891773,1701580321732212165101243261870,b,1
2023-05-25 05:27:41.410,1892422,1701580321732212165101302471870,c,1
2023-05-25 05:27:42.420,1892435,1701580321732212165101302471870,c,1
2023-05-25 05:28:52.520,1893138,1701580321732212165101302471870,c,1
2023-05-25 05:28:55.550,1893165,1701580321732212165101302471870,c,1
2023-05-25 05:40:07.070,1899862,1701580321732212165101243261870,b,1
2023-05-25 05:40:09.090,1899881,1701580321732212165101243261870,b,1
2023-05-25 05:40:59.590,1900386,1701580321732212165101243261870,b,1
2023-05-25 05:41:00.000,1900399,1701580321732212165101243261870,b,1
2023-05-25 07:22:32.320,1961044,1701580321732212165101243261870,b,1
2023-05-25 07:22:34.340,1961065,1701580321732212165101243261870,b,1
2023-05-25 07:23:07.070,1961400,1701580321732212165101243261870,b,1
2023-05-25 07:23:09.090,1961423,1701580321732212165101243261870,b,1
2023-05-25 07:30:45.450,1965964,1701580321732212165101243261870,b,1
2023-05-25 07:30:46.460,1965973,1701580321732212165101243261870,b,1
2023-05-25 07:31:20.200,1966318,1701580321732212165101243261870,b,1
2023-05-25 07:31:21.210,1966333,1701580321732212165101243261870,b,1
2023-05-25 07:31:29.290,1966416,1701580321732212165101243261870,b,1
2023-05-25 07:31:32.320,1966447,1701580321732212165101243261870,b,1
2023-05-25 07:31:35.350,1966484,1701580321732212165101243261870,b,1
2023-05-25 07:31:39.390,1966529,1701580321732212165101243261870,b,1
2023-05-25 07:31:42.420,1966562,1701580321732212165101243261870,b,1
2023-05-25 07:33:44.440,1967781,1701580321732212165101302471870,c,1
2023-05-25 07:33:45.450,1967794,1701580321732212165101302471870,c,1
2023-05-25 07:35:47.470,1969007,1701580321732212165101302471870,c,1
2023-05-25 07:35:47.470,1969018,1701580321732212165101302471870,c,1
2023-05-25 07:38:07.070,1970413,1701580321732212165101243261870,b,1
2023-05-25 07:38:08.080,1970422,1701580321732212165101243261870,b,1
2023-05-25 07:39:52.520,1971467,1701580321732212165101243261870,b,1
2023-05-25 07:45:01.010,1974542,1701580321732212165101243261870,b,1
2023-05-25 07:46:45.450,1975583,1701580321732212165101243261870,b,1
2023-05-25 07:46:55.550,1975686,1701580321732212165101243261870,b,1
